Date,Ticker,Action,Price,Quantity,Type
2025-12-02,BURU,BUY,0.22,309,HIST
2025-12-02,CRBP,BUY,10.28,4,HIST
2025-12-02,KITT,BUY,0.72,56,HIST
2025-12-02,RGTI,BUY,23.88,1,HIST
2025-12-02,FJET,BUY,10.54,2,HIST
2025-12-02,IBIO,BUY,1.07,18,HIST
2025-12-02,RR,BUY,3.56,4,HIST
2025-12-03,BURU,BUY,0.23,47,HIST
2025-12-03,KITT,BUY,1.56,5,HIST
2025-12-03,IBIO,BUY,1.04,6,HIST
2025-12-03,RR,BUY,4.22,1,HIST
2025-12-04,BURU,BUY,0.25,15,HIST
2025-12-04,KITT,BUY,1.17,2,HIST
2025-12-04,IBIO,BUY,1.28,1,HIST
2025-12-05,BURU,BUY,0.23,7,HIST
2025-12-05,KITT,BUY,1.12,1,HIST
2025-12-08,BURU,BUY,0.23,5,HIST
2025-12-08,KITT,BUY,0.87,1,HIST
2025-12-09,BURU,BUY,0.22,2,HIST
2025-12-10,BURU,BUY,0.22,2,HIST
2025-12-10,KITT,SELL,1.14,65,HIST
2025-12-10,FJET,BUY,9.48,1,HIST
2025-12-10,IBIO,BUY,2.81,5,HIST
2025-12-10,RR,BUY,4.15,3,HIST
2025-12-11,BURU,BUY,0.22,46,HIST
2025-12-11,IBIO,BUY,2.42,3,HIST
2025-12-11,RR,BUY,4.68,1,HIST
2025-12-12,BURU,BUY,0.2,21,HIST
2025-12-12,KITT,BUY,0.91,3,HIST
2025-12-12,IBIO,BUY,1.94,1,HIST
2025-12-15,BURU,BUY,0.2,11,HIST
2025-12-15,KITT,BUY,0.82,2,HIST
2025-12-16,BURU,BUY,0.2,6,HIST
2025-12-16,KITT,BUY,0.92,1,HIST
2025-12-16,IBIO,SELL,2.06,34,HIST
2025-12-16,RR,BUY,3.63,5,HIST
2025-12-17,BURU,BUY,0.2,67,HIST
2025-12-17,CRBP,BUY,8.15,1,HIST
2025-12-17,KITT,BUY,0.86,9,HIST
2025-12-17,RR,BUY,3.43,1,HIST
2025-12-18,BURU,BUY,0.2,26,HIST
2025-12-18,KITT,BUY,0.9,4,HIST
2025-12-19,BURU,BUY,0.22,15,HIST
2025-12-19,KITT,BUY,0.87,2,HIST
2025-12-22,BURU,BUY,0.21,9,HIST
2025-12-22,KITT,BUY,0.89,1,HIST
2025-12-23,BURU,BUY,0.2,6,HIST
2025-12-23,KITT,BUY,0.92,1,HIST
2025-12-24,BURU,BUY,0.19,3,HIST
2025-12-26,BURU,BUY,0.18,3,HIST
2025-12-29,BURU,BUY,0.17,2,HIST
2025-12-30,BURU,BUY,0.17,2,HIST
2025-12-31,BURU,BUY,0.16,1,HIST
2026-01-02,BURU,BUY,0.2,1,HIST
2026-01-05,BURU,BUY,0.21,1,HIST
2026-01-13,KITT,SELL,0.89,23,HIST
2026-01-13,IBIO,BUY,2.54,2,HIST
2026-01-13,RR,BUY,3.91,1,HIST
2026-01-14,BURU,BUY,0.19,15,HIST
2026-01-14,KITT,BUY,1.01,2,HIST
2026-01-15,BURU,BUY,0.18,9,HIST
2026-01-15,KITT,BUY,0.97,1,HIST
2026-01-16,BURU,BUY,0.18,6,HIST
2026-01-16,IBIO,SELL,2.2,2,HIST
2026-01-20,BURU,BUY,0.18,11,HIST
2026-01-20,KITT,BUY,0.9,1,HIST
2026-01-21,BURU,BUY,0.18,7,HIST
2026-01-21,KITT,BUY,0.91,1,HIST
2026-01-22,BURU,BUY,0.19,3,HIST
2026-01-22,KITT,SELL,0.97,5,HIST
2026-01-23,BURU,BUY,0.19,9,HIST
2026-01-26,BURU,BUY,0.18,7,HIST
2026-01-27,BURU,BUY,0.18,5,HIST
2026-01-28,BURU,BUY,0.18,4,HIST
2026-01-29,BURU,BUY,0.17,3,HIST
2026-01-30,BURU,BUY,0.21,2,HIST
2026-02-02,BURU,BUY,0.21,2,FORECAST
2026-02-03,BURU,BUY,0.21,1,FORECAST
2026-02-04,BURU,BUY,0.21,1,FORECAST
2026-02-05,BURU,BUY,0.21,1,FORECAST
